('huts', 'books/book3|1')
('steep', 'books/book3|1')
('difficult', 'books/book3|1')
('hillsides', 'books/book3|1')
('others', 'books/book3|3')
('homes', 'books/book3|1')
('farmhouses', 'books/book3|1')
('level', 'books/book3|1')
('surfaces', 'books/book3|1')
('congregated', 'books/book3|1')
('villages', 'books/book3|1')
('wild', 'books/book3|1')
('highland', 'books/book3|1')
('birthplace', 'books/book3|1')
('caught', 'books/book3|1')
('compelled', 'books/book3|1')
('cottonfactories', 'books/book3|1')
('numerous', 'books/book3|1')
('modes', 'books/book3|1')
('children', 'books/book3|2')
('familiarity', 'books/book3|1')
('although', 'books/book3|2')
('gift', 'books/book3|1')
('natural', 'books/book3|1')
('phenomenon', 'books/book3|1')
('immense', 'books/book3|1')
('rocks', 'books/book3|2')
('thrown', 'books/book3|1')
('viewed', 'books/book3|1')
('distance', 'books/book3|2')
('enormous', 'books/book3|1')
('giant', 'books/book3|1')
('likeness', 'books/book3|1')
('arch', 'books/book3|1')
('forehead', 'books/book3|1')
('hundred', 'books/book3|2')
('feet', 'books/book3|1')
('height', 'books/book3|1')
('nose', 'books/book3|1')
('lips', 'books/book3|1')
('thunder', 'books/book3|1')
('accents', 'books/book3|1')
('end', 'books/book3|2')
('spectator', 'books/book3|1')
('lost', 'books/book3|1')
('outline', 'books/book3|1')
('discern', 'books/book3|1')
('ponderous', 'books/book3|1')
('chaotic', 'books/book3|1')
('ruin', 'books/book3|1')
('withdrew', 'books/book3|1')
('original', 'books/book3|2')
